Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,genus_x,species_x,species_a_common,species_a_name,genus_y,species_y,species_b_common,species_b_name,site_name
379,8899,61,483,1172,483,13,0.7058974305816028,0.0009234420576988,Acer,saccharum,sugar maple,Acer saccharum,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-Newfound Gap
380,8899,61,483,1174,483,13,0.802701067850918,0.0001740230340733,Acer,saccharum,sugar maple,Acer saccharum,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-Newfound Gap
381,8899,79,483,1172,483,13,0.6143922080988024,0.0039337873085607,Fagus,grandifolia,American beech,Fagus grandifolia,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-Newfound Gap
382,8899,79,483,1174,483,13,0.631633627161378,0.0031370371316716,Fagus,grandifolia,American beech,Fagus grandifolia,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-Newfound Gap
383,8899,1172,483,1174,483,13,0.8212100613803269,0.0001320921844935,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-Newfound Gap
384,8901,91,467,1199,467,12,0.6929348671835832,0.0022316179323638,Sorbus,americana,American mountain ash,Sorbus americana,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
386,8901,91,483,97,483,13,0.5621035095372022,0.0083390347056485,Sorbus,americana,American mountain ash,Sorbus americana,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,GRSM-Clingmans Dome Rd.
389,8901,91,483,1189,483,13,0.4474071525726428,0.0366387901587302,Sorbus,americana,American mountain ash,Sorbus americana,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
391,8901,91,483,1199,483,13,0.7189696052220028,0.0007402559106148,Sorbus,americana,American mountain ash,Sorbus americana,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
398,8901,91,498,1189,498,13,0.516567619255367,0.016330215477267,Sorbus,americana,American mountain ash,Sorbus americana,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
