Unnamed: 0,site_id,species_a,phenophase_a,species_b,phenophase_b,number_of_observations,kendall_tau,p_value,species_a_name,species_b_name,site_name
636,9339,3,Falling leaves,1181,Falling leaves,12,0.5649019553110248,0.0109851589729484,red maple,Carolina silverbell,GRSM-Tremont-West Prong
637,9339,3,Falling leaves,1184,Falling leaves,12,0.5649019553110248,0.0109851589729484,red maple,mountain magnolia,GRSM-Tremont-West Prong
638,9339,3,Leaves,60,Leaves,14,0.5142941109928062,0.0128004766603399,red maple,striped maple,GRSM-Tremont-West Prong
642,9339,3,Leaves,823,Leaves,14,0.4571503208824943,0.0269192474938744,red maple,American hornbeam,GRSM-Tremont-West Prong
646,9339,3,Colored leaves,61,Falling leaves,12,0.5116432801804849,0.022675321110971,red maple,sugar maple,GRSM-Tremont-West Prong
647,9339,3,Colored leaves,61,Colored leaves,12,0.8682431421244593,0.0001101109572748,red maple,sugar maple,GRSM-Tremont-West Prong
655,9339,3,Colored leaves,1181,Falling leaves,12,0.6356780147696934,0.0046357429770426,red maple,Carolina silverbell,GRSM-Tremont-West Prong
656,9339,3,Colored leaves,1184,Falling leaves,12,0.4806345965331828,0.0322943377269403,red maple,mountain magnolia,GRSM-Tremont-West Prong
658,9339,60,Increasing leaf size,823,Increasing leaf size,13,0.4933333333333333,0.0224619796284798,striped maple,American hornbeam,GRSM-Tremont-West Prong
661,9339,60,Falling leaves,61,Colored leaves,12,0.4531803232405456,0.0443710501453709,striped maple,sugar maple,GRSM-Tremont-West Prong
665,9339,60,Falling leaves,98,Colored leaves,12,0.6875839387097933,0.0022844715356567,striped maple,sweet birch,GRSM-Tremont-West Prong
669,9339,60,Falling leaves,1181,Falling leaves,12,0.5000610463343951,0.0265167833177904,striped maple,Carolina silverbell,GRSM-Tremont-West Prong
674,9339,60,Leaves,823,Leaves,14,0.4772727272727272,0.0203467612302907,striped maple,American hornbeam,GRSM-Tremont-West Prong
678,9339,60,Colored leaves,82,Falling leaves,12,0.7131997238879487,0.0014901532666585,striped maple,tuliptree,GRSM-Tremont-West Prong
679,9339,60,Colored leaves,82,Colored leaves,12,0.7442084075352507,0.0009173919133463,striped maple,tuliptree,GRSM-Tremont-West Prong
681,9339,60,Colored leaves,98,Colored leaves,12,0.5384615384615385,0.015894976127587,striped maple,sweet birch,GRSM-Tremont-West Prong
685,9339,60,Colored leaves,1181,Falling leaves,12,0.5538461538461539,0.0131303936072489,striped maple,Carolina silverbell,GRSM-Tremont-West Prong
698,9339,61,Leaves,823,Leaves,14,0.6782057225607617,0.0010682677458882,sugar maple,American hornbeam,GRSM-Tremont-West Prong
707,9339,61,Colored leaves,1181,Falling leaves,12,0.5846153846153846,0.0088446140171789,sugar maple,Carolina silverbell,GRSM-Tremont-West Prong
709,9339,82,Increasing leaf size,823,Increasing leaf size,13,0.5637710863797804,0.0093504253016073,tuliptree,American hornbeam,GRSM-Tremont-West Prong
712,9339,82,Falling leaves,98,Colored leaves,12,0.4961389383568338,0.0271187165445825,tuliptree,sweet birch,GRSM-Tremont-West Prong
716,9339,82,Falling leaves,1181,Falling leaves,12,0.5736606474750892,0.0106161341700328,tuliptree,Carolina silverbell,GRSM-Tremont-West Prong
721,9339,82,Colored leaves,93,Falling leaves,12,0.5116432801804849,0.022675321110971,tuliptree,American basswood,GRSM-Tremont-West Prong
722,9339,82,Colored leaves,98,Colored leaves,12,0.6511823565933444,0.0037272392778565,tuliptree,sweet birch,GRSM-Tremont-West Prong
728,9339,93,Falling leaves,98,Colored leaves,12,0.4923076923076924,0.027479806211379,American basswood,sweet birch,GRSM-Tremont-West Prong
735,9339,93,Leaves,1184,Leaves,14,0.4827905143652879,0.0198511077412297,American basswood,mountain magnolia,GRSM-Tremont-West Prong
736,9339,93,Colored leaves,823,Colored leaves,11,0.587180674734059,0.0124621582945403,American basswood,American hornbeam,GRSM-Tremont-West Prong
741,9339,98,Colored leaves,1181,Falling leaves,12,0.5846153846153846,0.0088446140171789,sweet birch,Carolina silverbell,GRSM-Tremont-West Prong
744,9339,823,Falling leaves,1172,Falling leaves,12,0.5116432801804849,0.022675321110971,American hornbeam,yellow buckeye,GRSM-Tremont-West Prong
751,9339,1172,Falling leaves,1184,Falling leaves,12,0.5736606474750892,0.0106161341700328,yellow buckeye,mountain magnolia,GRSM-Tremont-West Prong
760,9340,3,Leaves,102,Leaves,15,0.6169230579301932,0.0018897717591348,red maple,northern red oak,GRSM-Tremont-Marcs Trail
762,9340,102,Increasing leaf size,1187,Increasing leaf size,12,0.546875,0.0154106570520779,northern red oak,sourwood,GRSM-Tremont-Marcs Trail
763,9340,102,Leaves,1212,Leaves,15,0.423691589610646,0.0317173065166482,northern red oak,chestnut oak,GRSM-Tremont-Marcs Trail
